geohome,geowork,likeIrpin,likeVishneve,likeBucha,likeVorzel,likeKocubinske,likeBoyarka,likeBrovary,likeBoryspil,likeVyshgorod,comments,liveSuburb,liveOkolica,isGoodWorkLocation,age,isRented,job,liveHouse,isInvestor,isActivist,isFreeAppartmentImportant,
50.4194|30.4742,50.4178|30.4770,,,,,,,,,,,Ні,Ні,Так,25,Так,Software Developer,Ні,Ні,Ні,Ні,
50.3931|30.6223,50.4641|30.5178,Нормальне,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Погане,Нормальне,Нормальне,,Так,Так,Скоріше ні,29,Ні,Software Developer,Так,Так,Так,Ні,
"50.515870, 30.797372","50.407460, 30.509177",Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,30,Так,BA/QA,Ні,Ні,Ні,Ні,
50.4043|30.5165,50.4624|30.4496,Погане,Найкраще,Погане,Погане,Погане,Нормальне,Погане,Погане,Погане,,Так,Так,Скоріше ні,25,Так,Software Developer,Скоріше ні,Так,Скоріше так,Так,
50.2712|28.6352,50.2738|28.6474,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Так,27,Ні,BA/QA,Скоріше так,Скоріше так,Скоріше так,Так,
50.4514|30.5018,50.4467|30.4238,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Погане,Погане,Погане,Нормальне,Нормальне,,Скоріше так,Скоріше ні,Скоріше так,26,Так,Software Developer,Так,Скоріше так,Скоріше так,Скоріше так,
50.4345|30.4839,50.4388|30.4991,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Погане,Погане,Нормальне,Важко відповісти,Важко відповісти,,Скоріше ні,Скоріше ні,Так,26,Так,BA/QA,Скоріше так,Важко відповісти,Скоріше ні,Скоріше так,
,,,,,,,,,,,,Так,Так,Скоріше так,27,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.4206|30.5183,50.4447|30.4506,Погане,Погане,Погане,Погане,Погане,Погане,Найкраще,Погане,Погане,,Так,Так,Скоріше так,36,Ні,Software Developer,Так,Так,Так,Скоріше ні,
50.4701|30.4467,50.4683|30.5228,Важко відповісти,,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше ні,Скоріше так,Скоріше ні,32,Ні,Software Developer,Так,Скоріше ні,Скоріше ні,Скоріше так,
48.6146|34.5187,48.4720|35.0331,,,,,,,,,,,Так,Так,Скоріше так,32,Ні,Project/Account Manager,Так,Ні,Скоріше так,Ні,
"50.035361, 36.221934","50.004254, 36.237813",,,,,,,,,,,Скоріше ні,Ні,Так,26,Так,Software Developer,Ні,Скоріше ні,Так,Ні,
41.6461|41.6290,41.6461|41.6290,,,,,,,,,,,Так,Скоріше ні,Так,30,Так,Software Developer,Скоріше так,Скоріше так,Скоріше так,Скоріше ні,
"50.494183, 30.507987","50.429083, 30.518198",Важко відповісти,Важко відповісти,Важко відповісти,Погане,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,,Скоріше ні,Скоріше ні,Скоріше так,22,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше так,Скоріше ні,
49.8041|24.0719,49.8315|24.0441,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Важко відповісти,Скоріше так,Так,34,Ні,Software Developer,Важко відповісти,Скоріше так,Скоріше так,Ні,
Днипро,Днипро,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,IT God Bless You!,Так,Так,Скоріше так,36,Скоріше так,BA/QA,Так,Так,Так,Так,
50.4802|30.4533,50.4448|30.4544,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Скоріше ні,Скоріше ні,33,Ні,Project/Account Manager,Скоріше так,Ні,Скоріше так,Ні,
50.4348|30.6201,50.4385|30.5231,Нормальне,Нормальне,Нормальне,Погане,Нормальне,Погане,Погане,Погане,Погане,,Скоріше так,Скоріше так,Так,29,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Скоріше ні,
Святопетрівське,Київ,Нормальне,Нормальне,Нормальне,Погане,Найкраще,Найкраще,Найкраще,Погане,Нормальне,,Скоріше так,Скоріше так,Скоріше ні,26,Ні,BA/QA,Так,Скоріше так,Скоріше так,Скоріше так,
50.4028|30.3615,50.4396|30.5164,Нормальне,Найкраще,Важко відповісти,Важко відповісти,Нормальне,Погане,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Скоріше так,Так,24,Ні,Project/Account Manager,Так,Скоріше так,Скоріше так,Ні,
"50.441118, 30.283009","50.444782, 30.450699",Найкраще,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,Погане,Погане,,Так,Так,Скоріше так,38,Ні,Project/Account Manager,Так,Важко відповісти,Скоріше так,Ні,
50.4013|30.3890,50.4242|30.5066,Погане,Нормальне,Погане,Важко відповісти,Важко відповісти,Погане,Погане,Погане,Нормальне,,Так,Так,Скоріше так,27,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Скоріше так,
"49.8267457,23.9830166","49.8426173,24.0030209",Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Ні,28,Так,Software Developer,Так,Так,Так,Так,
,,,,,,,,,,,,Так,Так,Так,31,Так,Software Developer,Так,Ні,Так,Так,
50.5163|30.2378,,Найкраще,Нормальне,Найкраще,Нормальне,Нормальне,Погане,Погане,Погане,Нормальне,,Так,Так,Скоріше так,32,Скоріше ні,Project/Account Manager,Так,Так,Так,Так,
50.4596|30.6208,50.4192|30.5214,Погане,Важко відповісти,Нормальне,Погане,Погане,Погане,Погане,Погане,Погане,не хочеться жити у страшному совковому місті,Ні,Ні,Скоріше так,23,Ні,Software Developer,Ні,Ні,Так,Ні,
Покотиловка,Харьков,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше ні,Ні,Так,31,Ні,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Ні,
49.8183|23.9783,49.8143|24.0365,,,,,,,,,,,Так,Так,Скоріше ні,31,Так,Software Developer,Так,Скоріше так,Так,Так,
Тернопіль,фріланс,,,,,,,,,,поки що ні,Ні,Важко відповісти,Скоріше так,24,Так,BA/QA,Важко відповісти,Важко відповісти,Важко відповісти,Так,
49.8090|23.9841,49.8123|23.9907,,,,,,,,,,,Так,Так,Так,34,Ні,Software Developer,Так,Скоріше так,Скоріше так,Ні,
46.4547|30.7524,46.4744|30.7341,,,,,,,,,,,Так,Важко відповісти,Скоріше так,26,Так,BA/QA,Так,Скоріше так,Так,Так,
50.5051|30.6038,50.4086|30.5125,Найкраще,,Найкраще,,,,,,,,Так,Скоріше так,Скоріше так,21,Ні,BA/QA,Так,Скоріше так,Ні,Скоріше ні,
50.4717|30.5142,50.3975|30.4799,,,,,,,,,,,Так,Так,Скоріше так,23,Так,Software Developer,Так,Важко відповісти,Скоріше так,Так,
50.0417|36.2144,49.9945|36.2329,,,,,,,,,,,Так,Так,Скоріше так,28,Так,Software Developer,Так,Скоріше ні,Скоріше так,Важко відповісти,
,,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Найкраще,Найкраще,,Ні,Ні,Ні,28,Ні,BA/QA,Важко відповісти,Ні,Так,Так,
Киев,Киев,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Скоріше ні,Скоріше ні,Так,26,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Скоріше так,
50.5120|30.4145,50.4699|30.5193,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Так,Так,37,Так,Software Developer,Скоріше ні,Скоріше ні,Скоріше ні,Так,
50.4450|30.5993,50.4549|30.5938,Найкраще,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,Нормальне,,Так,Скоріше ні,Так,26,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
49.8702|24.0330,49.8584|24.0203,,,,,,,,,,,Так,Так,Так,33,Так,BA/QA,Скоріше так,Скоріше так,Так,Так,
50.4167|30.6322,50.4088|30.6268,Нормальне,Погане,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Скоріше так,Важко відповісти,33,Так,Інша ІТ спеціальність,Так,Так,Скоріше так,Так,
50.4127|30.6238,50.4712|30.4995,Погане,Найкраще,Погане,Погане,Нормальне,Найкраще,Погане,Погане,Нормальне,,Скоріше так,Скоріше так,Скоріше ні,24,Так,Software Developer,Скоріше ні,Скоріше так,Скоріше так,Ні,
50.4361|30.3822,50.4474|30.4238,Найкраще,Нормальне,Найкраще,Погане,Нормальне,Погане,Погане,Погане,Найкраще,,Так,Так,Скоріше так,22,Так,Software Developer,Так,Так,Так,Скоріше так,
,,Погане,Найкраще,Нормальне,Погане,Найкраще,Нормальне,Нормальне,Погане,Нормальне,,Ні,Так,Скоріше так,26,Ні,Project/Account Manager,Важко відповісти,Важко відповісти,Ні,Так,
Передмістя,Протасів,Погане,Нормальне,Найкраще,Погане,Нормальне,Погане,Найкраще,Погане,Погане,,Так,Ні,Скоріше так,25,Ні,Спеціальність не пов'язана з ІТ,Так,Так,Так,Так,
"46.434883, 30.728296","46.443042, 30.749118",Найкраще,Нормальне,Найкраще,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,"Хотелось бы опрос по всей Украине, а не только город.",Так,Так,Так,27,Так,Інша ІТ спеціальність,Так,Скоріше так,Скоріше так,Скоріше ні,
50.3871|30.6243,50.4224|30.5059,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Найкраще,Погане,,Так,Так,Скоріше ні,27,Так,BA/QA,Так,Важко відповісти,Важко відповісти,Так,
49.9859143|36.2699737,49.979633|36.2455183,,,,,,,,,,,Скоріше ні,Ні,Так,30,Ні,Project/Account Manager,Так,Скоріше так,Так,Ні,
50.5398|30.3020,50.4284|30.3545,Нормальне,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше так,41,Ні,Інша ІТ спеціальність,Так,Скоріше ні,Скоріше ні,Важко відповісти,
50.4615|30.4305,50.4392|30.5234,Найкраще,,Нормальне,,Нормальне,,,,,Chernivtsi,Скоріше так,Скоріше так,Скоріше так,29,Так,BA/QA,Так,Скоріше так,Скоріше ні,Так,
50.5893|30.4884,50.3930|30.4998,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Найкраще,,Так,Так,Ні,22,Ні,Software Developer,Так,Так,Так,Скоріше так,
50.4044|30.5184,50.4444|30.4530,,Важко відповісти,Нормальне,,,,,Погане,Нормальне,,Так,Важко відповісти,Скоріше так,25,Так,Software Developer,Скоріше ні,Важко відповісти,Важко відповісти,Скоріше так,
Миколаїв,Центр,Нормальне,Нормальне,Погане,Нормальне,Нормальне,Найкраще,Найкраще,Важко відповісти,Нормальне,,Так,Скоріше так,Так,27,Ні,Software Developer,Так,Скоріше так,Скоріше ні,Скоріше так,
50.3708|30.4640,50.4204|30.5289,Нормальне,Нормальне,Нормальне,Найкраще,Найкраще,Найкраще,Найкраще,Погане,Погане,,Так,Так,Так,30,Ні,Software Developer,Так,Ні,Скоріше так,Так,
50.0291|36.2168,50.0210|36.2180,,,,,,,,,,,Скоріше так,Скоріше так,Так,39,Ні,Software Developer,Скоріше так,Важко відповісти,Важко відповісти,Важко відповісти,
48.9263|24.6938,48.9160|24.7073,,,,,,,,,,Івано-Франківськ,Так,Скоріше так,Так,25,Ні,Software Developer,Скоріше ні,Так,Так,Скоріше ні,
50.3643|30.4215,50.4225|30.5168,,,,,,,,,,,Так,Так,Так,27,Так,Software Developer,Так,Ні,Скоріше ні,Скоріше ні,
48.2603|25.9464,48.2603|25.9464,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Хараре,Так,Так,Скоріше так,29,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше так,Ні,
"50.378961, 30.455756","50.397496, 30.480850",,,,,,,,,,,Скоріше ні,Скоріше так,Скоріше так,20,Так,Software Developer,Важко відповісти,Важко відповісти,Важко відповісти,Так,
50.4546|30.4459,50.4389|30.5235,Найкраще,Важко відповісти,Найкраще,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Закарпаття – the best place for IT!,Так,Скоріше ні,Скоріше так,25,Так,Software Developer,Скоріше так,Так,Так,Скоріше так,
,,Важко відповісти,Важко відповісти,Важко відповісти,,,,Нормальне,Нормальне,Нормальне,,Скоріше так,Скоріше ні,Скоріше ні,26,Так,Project/Account Manager,Так,Так,Так,Скоріше так,
50.5305|30.6079,50.3969|30.4815,,,,,,,,,Погане,,Так,Так,Важко відповісти,29,Ні,Software Developer,Так,Так,Так,Ні,
50.0339|36.2212,50.0227|36.2249,,,,,,,,,,,Ні,Ні,Так,27,Так,Інша ІТ спеціальність,Ні,Скоріше так,Скоріше ні,Ні,
46.5589|30.7068,46.5589|30.7068,,,,,,,,,,,Так,Так,Скоріше так,31,Ні,Software Developer,Так,Так,Так,Так,
,,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше ні,30,Ні,Software Developer,Так,Ні,Скоріше так,Ні,
49.8619|24.0077,49.8569|24.0210,,,,,,,,,,,Так,Так,Скоріше так,25,Ні,Software Developer,Так,Скоріше так,Так,Так,
49.8174|24.0265,49.8401|24.0282,,,,,,,,,,,Так,Так,Скоріше так,29,Так,Software Developer,Скоріше так,Скоріше так,Ні,Важко відповісти,
50.4270|30.4508,50.4236|30.5052,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше так,24,Так,Software Developer,Так,Скоріше так,Скоріше так,Скоріше ні,
50.3661|30.4575,50.4386|30.5390,,,,,,,,,,,Важко відповісти,Скоріше так,Скоріше так,32,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Скоріше так,
50.0319|36.2311,50.0260|36.2198,,,,,,,,,,,Скоріше так,Так,Скоріше так,22,Так,Project/Account Manager,Ні,Так,Скоріше ні,Так,
50.4234|30.3707,50.4381|30.5210,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше ні,23,Ні,Інша ІТ спеціальність,Так,Ні,Скоріше так,Важко відповісти,
50.3965|30.6264,50.4397|30.5441,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Погане,,Так,Так,Важко відповісти,32,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
,,,,,,,,,,,,Скоріше ні,Скоріше ні,Скоріше так,27,Ні,Software Developer,Важко відповісти,Так,Важко відповісти,Скоріше так,
50.3829|30.3779,50.4246|30.5061,Погане,Найкраще,Важко відповісти,Погане,Погане,Погане,Погане,Погане,Погане,,Так,Важко відповісти,Скоріше так,27,Ні,Software Developer,Так,Скоріше так,Скоріше так,Ні,
50.4590|30.4865,50.4474|30.4229,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Так,Скоріше так,26,Так,Software Developer,Ні,Скоріше ні,Скоріше так,Так,
50.4931|30.4617,50.4910|30.4737,,,,,,,,,,,Так,Так,Так,28,Так,Software Developer,Так,Так,Скоріше так,Так,
49.8599|24.0167,49.8117|24.0389,,,,,,,,,,,Скоріше так,Скоріше так,Ні,30,Ні,BA/QA,Скоріше так,Ні,Так,Скоріше так,
50.0065|36.2507,49.9873|36.2552,,,,,,,,,,,Так,Так,Скоріше так,22,Так,Software Developer,Так,Так,Скоріше ні,Так,
50.3945|30.6175,50.4297|30.5183,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше так,20,Так,BA/QA,Так,Так,Ні,Так,
50.3939|30.5313,50.4990|30.4469,,Нормальне,,,,Нормальне,,,,,Скоріше так,Скоріше ні,Скоріше ні,35,Ні,Інша ІТ спеціальність,Так,Скоріше так,Скоріше так,Скоріше ні,
48.5952|34.5699,48.5230|34.5959,,,,,,,,,,,Так,Скоріше так,Скоріше так,45,Ні,Software Developer,Так,Важко відповісти,Скоріше так,Скоріше так,
50.2406|28.7045,50.2406|28.7045,,,,,,,,,,,Важко відповісти,Скоріше так,Так,30,Ні,Software Developer,Так,Скоріше так,Важко відповісти,Скоріше ні,
50.0289|36.3476,50.0220|36.2224,,,,,,,,,,,Скоріше так,Так,Ні,29,Ні,BA/QA,Так,Скоріше так,Так,Ні,
49.8167|24.0487,49.8225|24.0559,,,,,,,,,,,Так,Важко відповісти,Так,25,Так,BA/QA,Скоріше так,Скоріше так,Важко відповісти,Скоріше ні,
Киев,50.4268|30.5034,Нормальне,Нормальне,Найкраще,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,Нормальне,Нормальне,,Так,Скоріше ні,Скоріше так,27,Так,Спеціальність не пов'язана з ІТ,Так,Так,Так,Так,
50.4179|30.5405,50.4389|30.5229,,,,,,,,,,,Скоріше так,Скоріше так,Так,26,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.445648|30.524489,50.445648|30.524489,Нормальне,Нормальне,Найкраще,Найкраще,Важко відповісти,Погане,Нормальне,Важко відповісти,Нормальне,"опции ""уже переезжаете"" ""планируете""",Так,Скоріше ні,Скоріше так,34,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Важко відповісти,
,,,,,,,,,,,,Так,Так,Так,24,Так,Software Developer,Так,Так,Так,Так,
50.4409|30.5073,50.4503|30.5990,Нормальне,Погане,Нормальне,Погане,Нормальне,Погане,Погане,Погане,Нормальне,,Скоріше так,Ні,Скоріше ні,30,Ні,Software Developer,Так,Ні,Важко відповісти,Скоріше так,
50.3910|30.3692,50.3952|30.4787,Нормальне,Найкраще,Важко відповісти,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Так,Так,30,Так,Software Developer,Скоріше ні,Ні,Скоріше ні,Скоріше ні,
50.3852|30.4850,50.4733|30.5106,,,,,,,Погане,,,,Важко відповісти,Важко відповісти,Скоріше так,23,Так,BA/QA,Скоріше так,Важко відповісти,Так,Скоріше так,
Київ,Київ,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,29,Так,Software Developer,Скоріше ні,Скоріше ні,Скоріше так,Скоріше ні,
49.5691|34.5820,49.5893|34.5580,,,,,,,,,,,Так,Скоріше так,Так,32,Ні,Інша ІТ спеціальність,Так,Скоріше так,Скоріше ні,Скоріше так,
49.8347|24.0016,49.8347|24.0016,,,,,,,,,,,Важко відповісти,Скоріше ні,Скоріше так,25,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Скоріше так,
50.2675|28.6457,50.2550|28.6493,,,,,,,,,,,Так,Так,Скоріше так,28,Так,Software Developer,Так,Скоріше так,Так,Так,
50.4489|30.4501,50.4388|30.6142,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Важко відповісти,Скоріше так,22,Так,Інша ІТ спеціальність,Скоріше ні,Важко відповісти,Скоріше так,Скоріше ні,
50.3888|30.3672,50.4336|30.5198,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,Погане,,Ні,Скоріше так,Ні,31,Ні,Project/Account Manager,Так,Ні,Ні,Ні,
Закревськго,Фізкультури 30,,,,,,,,,,,Так,Так,Скоріше так,32,Ні,Software Developer,Так,Так,Так,Так,
50.435356|30.622562,50.400793|30.616585,Нормальне,Важко відповісти,Найкраще,Погане,Погане,Погане,Найкраще,Нормальне,Погане,,Скоріше так,Так,Скоріше так,31,Ні,Software Developer,Так,Важко відповісти,Ні,Так,
,,,,,,,,,,,,Так,Так,Скоріше так,29,Ні,Software Developer,Скоріше так,Скоріше так,Скоріше так,Скоріше ні,
"48.4490645,35.0563956","48.4571266,35.053193",Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше так,28,Так,Software Developer,Скоріше так,Скоріше так,Скоріше так,Скоріше так,
49.7932|24.0564,49.7932|24.0564,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Важко відповісти,Скоріше так,Так,28,Так,Software Developer,Скоріше так,Ні,Скоріше так,Скоріше так,
Голосієво,Позянки,,,,,,,,,Найкраще,,Так,Так,Ні,28,Так,BA/QA,Так,Так,Ні,Ні,
Ирпень,Киев,Найкраще,Нормальне,Найкраще,Нормальне,Найкраще,Погане,Погане,Погане,Погане,,Так,Так,Скоріше так,25,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Так,
50.3682|30.4555,50.4254|30.5059,,,,,,,,,,,Так,Так,Скоріше так,26,Ні,Software Developer,Скоріше так,Скоріше так,Скоріше так,Так,
,,Найкраще,,,,,,,,,,Так,Так,Ні,25,Ні,Software Developer,Важко відповісти,Важко відповісти,Так,Важко відповісти,
48.4483062|35.0260035,48.462395|35.051281,,,,,,,,,,,Ні,Ні,Так,26,Так,Software Developer,Ні,Ні,Ні,Скоріше так,
50.5246|30.2310,50.5246|30.2310,Найкраще,Погане,Нормальне,Нормальне,Погане,Погане,Погане,Погане,Нормальне,,Так,Так,Так,36,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Ні,
50.3858|30.4656,50.4504|30.4191,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше ні,24,Ні,Software Developer,Скоріше ні,Скоріше так,Скоріше ні,Ні,
47.7756|35.1901,47.8207|35.1783,,,,,,,,,,,Скоріше так,Скоріше так,Скоріше ні,27,Ні,Project/Account Manager,Скоріше так,Скоріше так,Скоріше так,Скоріше так,
50.4554|30.5894,50.4249|30.5065,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Скоріше ні,Так,31,Ні,Software Developer,Так,Скоріше ні,Так,Скоріше ні,
50.915150|34.832038,50.920697|34.808005,,,,,,,,,,,Так,Так,Скоріше так,23,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.3917|30.3226,50.4466|30.4129,,,,,,,,,,Святопетрівське,Так,Так,Скоріше так,29,Ні,Інша ІТ спеціальність,Так,Так,Так,Так,
"Київ, новоукраїнська 1/3а","київ, електриків 29а",Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше ні,29,Так,Software Developer,Так,Так,Так,Так,
50.4008|30.3768,50.4489|30.4246,Нормальне,Нормальне,Нормальне,Нормальне,Погане,Нормальне,Погане,Погане,Погане,,Так,Так,Так,33,Ні,Project/Account Manager,Так,Так,Скоріше так,Так,
50.4833|30.3956,50.4904|30.4735,Погане,Нормальне,Погане,Погане,Важко відповісти,Нормальне,Погане,Погане,Нормальне,,Важко відповісти,Скоріше так,Скоріше так,34,Ні,Інша ІТ спеціальність,Скоріше так,Скоріше так,Скоріше так,Важко відповісти,
46.4058|30.7067,46.4058|30.7067,,,,,,,,,,,Так,Так,Так,28,Ні,Software Developer,Скоріше так,Скоріше так,Важко відповісти,Так,
50.4640|30.5208,50.4689|30.5198,,,,,,,,,,,Скоріше ні,Скоріше ні,Так,25,Ні,Project/Account Manager,Скоріше так,Ні,Ні,Скоріше ні,
50.4352|30.2838,50.4448|30.4503,Найкраще,Найкраще,Нормальне,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,,Так,Так,Скоріше так,27,Ні,BA/QA,Так,Ні,Скоріше так,Так,
,,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Скоріше так,Так,23,Так,Software Developer,Ні,Ні,Ні,Ні,
50.4356|30.3305,50.4356|30.3305,Погане,Погане,Погане,Погане,Погане,Погане,Важко відповісти,Погане,Нормальне,,Так,Так,Так,38,Ні,Software Developer,Так,Ні,Так,Ні,
50.4023|30.6302,MPS development,Погане,Погане,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,Нормальне,,Ні,Скоріше ні,Скоріше так,25,Так,Software Developer,Скоріше так,Скоріше ні,Ні,Скоріше так,
50.5016|30.5959,50.4562|30.6375,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Так,24,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
46.3499|30.6873,46.4213|30.7118,,,,,,,,,,"Я сама народилась в маленькому курортному містечку Чорноморськ. Це менше 20 км від Одеси. І маю досвід роботи в офісі в цьому місті, але через скорочення і закриття компанії, мені прийшлося переїхати в Одесу і знайти роботу тут. Порівнюючи часи роботи в маленькому місті з роботою в мегаполісі, можу сказати, що це небо і земля. Адже постійні затори на дорогах не дають можливості нормально пресуватися ані машиною, ані іншим транспортом (типу велосипеда, електро самоката, роликів і тн) адже неймовірний трафік і відсутність місць проїзду для малих транспортних засобів - це потенційна загроза життю. Звісно,хотілось би більш розвинену інфраструктуру в маленьких містечках, адже там працювати - це насолода:)",Так,Так,Скоріше так,21,Ні,Project/Account Manager,Так,Скоріше так,Важко відповісти,Так,
47.9278|35.0690,фріланс,,,,,,,,,,виїхала замежі міста ще в 2012. і це чудово!,Так,Так,Так,37,Ні,Інша ІТ спеціальність,Так,Так,Так,Ні,
50.5124|30.4937,50.5132|30.5071,Погане,Найкраще,Погане,Погане,Погане,Нормальне,Погане,Погане,Погане,,Так,Так,Так,25,Так,Software Developer,Важко відповісти,Так,Так,Скоріше так,
49.8264|23.9859,49.8409|24.0009,,,,,,,,,,,Скоріше так,Скоріше так,Скоріше так,25,Так,Software Developer,Так,Важко відповісти,Скоріше так,Так,
50.4427|30.4986,50.4389|30.5235,,,,,,,,,,,Ні,Ні,Так,29,Так,BA/QA,Важко відповісти,Ні,Ні,Ні,
50.4525|30.3670,50.4336|30.5083,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Погане,Нормальне,,Скоріше так,Скоріше так,Скоріше так,28,Так,Software Developer,Скоріше так,Скоріше так,Ні,Скоріше так,
48.4562|35.0515,48.4572|35.0535,,,,,,,,,,,Скоріше ні,Ні,Так,29,Так,Software Developer,Ні,Скоріше так,Скоріше так,Важко відповісти,
